BEHAVIOUR - Recommender Systems (715);Build Your Own Music Recommender by Modeling Internet Radio Streams;14
BEHAVIOUR - Recommender Systems (464);Using Control Theory for Stable and Efficient Recommender Systems;14
BEHAVIOUR - Recommender Systems (311);An Exploration of Improving Collaborative Recommender Systems via User-Item Subgroups;14
MONETIZING - Advertising on the Web - 1 (846);Risk-aware Revenue Maximization in Display Advertisingü;14
MONETIZING - Advertising on the Web - 1 (1009);Targeting Converters for New Display Campaigns through Factor Models;14
MONETIZING - Advertising on the Web - 1 (1272);How Effective is Targeted Advertising?;14
SEMANTICS SEARCH - Semantics Web Approaches in Search (773);Compressed Data Structures for Annotated Web Search;14
SEMANTICS SEARCH - Semantics Web Approaches in Search (427);The SemSets Model for Ad-hoc Semantic List Search;14
SEMANTICS SEARCH - Semantics Web Approaches in Search (329);Heterogeneous Web Data Search Using Relevance-based On The Fly Data Integration;14
PERFORMANCE MOBILITY SECURITY - Mobile Web Performance (534);How Far Can Client-Only Solutions Go for Mobile Browser Speed?;14
PERFORMANCE MOBILITY SECURITY - Mobile Web Performance (833);Who Killed My Battery: Analyzing Mobile Browser Energy Consumption;14
PERFORMANCE MOBILITY SECURITY - Mobile Web Performance (17);Periodic Transfers in Mobile Applications: Network-wide Origin, Impact, and Optimization;14
SECURITY SOCIAL NETWORKS - Security and Fraud in Social Networks (925);Understanding and Combating Link Farming in the Twitter Social Network;14
SECURITY SOCIAL NETWORKS - Security and Fraud in Social Networks (1174);A Case Study of Cyber Criminal Ecosystem on Twitter;14
SECURITY SOCIAL NETWORKS - Security and Fraud in Social Networks (1042);"Branded with a Scarlet ""C"": Cheaters in a Gaming Social Network";14
SEMANTICS - Creating and using links between data objects (707);Scalable Machine Learning for Linked Data;14
SEMANTICS - Creating and using links between data objects (798);Semantic Navigation on the Web of Data: Specification of Routes, Web Fragments and Actions;14
SEMANTICS - Creating and using links between data objects (646);Understanding Web Images by Object Relation Network;14
PERFORMANCE SECURITY - Web Performance (921);Handling long-tail content with a little help from friends;14
PERFORMANCE SECURITY - Web Performance (104);DOHA: Scalable Real-time Web Applications through Adaptive Concurrent Execution;14
PERFORMANCE SECURITY - Web Performance (1242);Surviving a Search Engine Overloadü ü;14
MOBILITY - Mobile and file-sharing users (571);Musubi: Disintermediated Interactive Social Feeds for Mobile Devices;14
MOBILITY - Mobile and file-sharing users (272);Economics of BitTorrent Communities;14
MOBILITY - Mobile and file-sharing users (108);A Habit Mining Approach for Discovering Similar Mobile Users;14
BEHAVIOUR - Behavioral Analysis and Cvontent Characterization in Social Media (837);YouTube Around the World: Geographic Popularity of Videos;14
BEHAVIOUR - Behavioral Analysis and Cvontent Characterization in Social Media (941);Dynamical Classes of Collective Attention in Twitter;14
BEHAVIOUR - Behavioral Analysis and Cvontent Characterization in Social Media (1066);We Know What @You #Tag: Does the Dual Role Affect Hashtag Adoption?ü;14
SECURITY BEHAVIOR - Fraud and Bias in User Ratings (71);Semi-Supervised Correction of Biased Comment Ratings;14
SECURITY BEHAVIOR - Fraud and Bias in User Ratings (505);Spotting Fake Reviewer Groups in Consumer Reviews;14
SECURITY BEHAVIOR - Fraud and Bias in User Ratings (1254);Estimating the Prevalence of Deception in Online Review Communities;14
SEMANTICS - Entity Linking (838);LINDEN: Linking Named Entities with Knowledge Base via Semantic Knowledge;14
SEMANTICS - Entity Linking (734);Crosslingual Knowledge Linking Across Wiki Knowledge Bases;14
SEMANTICS - Entity Linking (982);ZenCrowd: Leveraging Probabilistic Reasoning and Crowdsourcing Techniques for Large-Scale Entity Linking;14
MONETIZING - Advertising on the Web - 2 (498);On Revenue in the Generalized Second Price Auction;14
MONETIZING - Advertising on the Web - 2 (958);Handling Forecast Errors while Bidding for Display Advertising;14
MONETIZING - Advertising on the Web - 2 (142);Optimizing Budget Allocation Among Channels and Influencers;14
SEARCH, INFO_EXTRACTION WEB_MINING - Search (219);Structured Query Suggestion for Specialization and Parallel Movement: Effect on Search Behaviors;14
